County,FileNumber,ProviderName,Available,Available Capacity,Bed Census,Total Staffed Bed Capacity
All,All,All,"16,619",0.273316339,"44,186","60,805"
ALACHUA,100113,UF HEALTH SHANDS HOSPITAL,236,0.225621415,810,"1,046"
ALACHUA,100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,58,0.125541126,404,462
ALACHUA,110025,UF HEALTH REHAB HOSPITAL,14,0.233333333,46,60
ALACHUA,120011,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,29,0.358024691,52,81
ALACHUA,23960071,SELECT SPECIALTY HOSPITAL GAINESVILLE,2,0.041666667,46,48
BAKER,100134,ED FRASER MEMORIAL HOSPITAL,8,0.666666667,4,12
BAKER,104007,NORTHEAST FLORIDA STATE HOSPITAL,118,0.192495922,495,613
BAY,100026,ASCENSION SACRED HEART BAY,21,0.146853147,122,143
BAY,100242,GULF COAST REGIONAL MEDICAL CENTER,42,0.181818182,189,231
BAY,110034,EMERALD COAST BEHAVIORAL HOSPITAL,26,0.302325581,60,86
BAY,23960013,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,16,0.285714286,40,56
BAY,23960045,SELECT SPECIALTY HOSPITAL - PANAMA CITY,9,0.3,21,30
BRADFORD,100103,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5,0.5,5,10
BREVARD,100019,HOLMES REGIONAL MEDICAL CENTER,86,0.170634921,418,504
BREVARD,100028,PARRISH MEDICAL CENTER,84,0.48,91,175
BREVARD,100092,ROCKLEDGE REGIONAL MEDICAL CENTER,64,0.318407960,137,201
BREVARD,100177,CAPE CANAVERAL HOSPITAL,55,0.392857143,85,140
BREVARD,104024,"CIRCLES OF CARE, INC",20,0.384615385,32,52
BREVARD,110027,SEA PINES REHABILITATION HOSPITAL AFFILIATE OF ENCOMPASS HEALTH,5,0.083333333,55,60
BREVARD,110036,DEVEREUX FLORIDA,0,0,100,100
BREVARD,120007,PALM BAY HOSPITAL,32,0.278260870,83,115
BREVARD,23960034,MELBOURNE REGIONAL MEDICAL CENTER,69,0.657142857,36,105
BREVARD,23960090,KINDRED HOSPITAL MELBOURNE,13,0.216666667,47,60
BREVARD,23960092,VIERA HOSPITAL,34,0.404761905,50,84
BREVARD,23960153,PALM POINT BEHAVIORAL HEALTH,9,0.204545455,35,44
BROWARD,100038,MEMORIAL REGIONAL HOSPITAL,202,0.260309278,574,776
BROWARD,100039,BROWARD HEALTH MEDICAL CENTER,24,0.061855670,364,388
BROWARD,100042,KINDRED HOSPITAL-SOUTH FLORIDA-HOLLYWOOD,45,0.378151261,74,119
BROWARD,100056,CLEVELAND CLINIC HOSPITAL,30,0.130434783,200,230
BROWARD,100073,HOLY CROSS HOSPITAL,152,0.436781609,196,348
BROWARD,100086,BROWARD HEALTH NORTH,10,0.035714286,270,280
BROWARD,100120,KINDRED HOSPITAL-SOUTH FLORIDA-FT LAUDERDALE,16,0.253968254,47,63
BROWARD,100167,PLANTATION GENERAL HOSPITAL,121,0.504166667,119,240
BROWARD,100189,NORTHWEST MEDICAL CENTER,89,0.306896552,201,290
BROWARD,100200,BROWARD HEALTH IMPERIAL POINT,2,0.017543860,112,114
BROWARD,100210,FLORIDA MEDICAL CENTER - A CAMPUS OF NORTH SHORE,48,0.246153846,147,195
BROWARD,100224,UNIVERSITY HOSPITAL AND MEDICAL CENTER,171,0.539432177,146,317
BROWARD,100225,MEMORIAL REGIONAL HOSPITAL SOUTH,18,0.151260504,101,119
BROWARD,100228,WESTSIDE REGIONAL MEDICAL CENTER,62,0.248,188,250
BROWARD,100230,MEMORIAL HOSPITAL PEMBROKE,11,0.082706767,122,133
BROWARD,103027,ST ANTHONY'S REHABILITATION HOSPITAL,16,0.615384615,10,26
BROWARD,103028,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SUNRISE,16,0.145454545,94,110
BROWARD,104001,SOUTH FLORIDA STATE HOSPITAL,0,0,303,303
BROWARD,104015,LARKIN COMMUNITY HOSPITAL BEHAVIORAL HEALTH SERVICES,24,0.48,26,50
BROWARD,104026,FORT LAUDERDALE BEHAVIORAL HEALTH CENTER,0,0,92,92
BROWARD,110019,BROWARD HEALTH CORAL SPRINGS,9,0.055214724,154,163
BROWARD,111527,MEMORIAL HOSPITAL WEST,35,0.096685083,327,362
BROWARD,23960050,MEMORIAL HOSPITAL MIRAMAR,53,0.297752809,125,178
CALHOUN,100112,CALHOUN-LIBERTY HOSPITAL,6,0.6,4,10
CHARLOTTE,100047,BAYFRONT HEALTH PUNTA GORDA,36,0.283464567,91,127
CHARLOTTE,100077,BAYFRONT HEALTH PORT CHARLOTTE,86,0.389140271,135,221
CHARLOTTE,100236,FAWCETT MEMORIAL HOSPITAL,86,0.339920949,167,253
CITRUS,100023,CITRUS MEMORIAL HOSPITAL,72,0.352941176,132,204
CITRUS,100249,BAYFRONT HEALTH SEVEN RIVERS,25,0.25,75,100
CLAY,100016,KINDRED HOSPITAL-NORTH FLORIDA,25,0.342465753,48,73
CLAY,100226,ORANGE PARK MEDICAL CENTER,38,0.106741573,318,356
CLAY,23960117,ASCENSION ST VINCENT'S CLAY COUNTY,20,0.158730159,106,126
COLLIER,100018,NAPLES COMMUNITY HOSPITAL,29,0.122362869,208,237
COLLIER,110043,"WILLOUGH AT NAPLES, THE",29,0.333333333,58,87
COLLIER,120006,NCH HEALTHCARE SYSTEM NORTH NAPLES HOSPITAL CAMPUS,49,0.213043478,181,230
COLLIER,23960025,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,0,0,109,109
COLLIER,23960057,PHYSICIANS REGIONAL MEDICAL CENTER - COLLIER,35,0.35,65,100
COLLIER,23960116,LANDMARK HOSPITAL OF SOUTHWEST FLORIDA,22,0.44,28,50
COLUMBIA,100156,LAKE CITY MEDICAL CENTER,0,0,94,94
DESOTO,100175,DESOTO MEMORIAL HOSPITAL,38,0.678571429,18,56
DUVAL,100001,UF HEALTH JACKSONVILLE,161,0.266998342,442,603
DUVAL,100040,ASCENSION ST VINCENT'S RIVERSIDE,208,0.448275862,256,464
