County,COVID Hospitalizations
ALACHUA,69
BAKER,3
BAY,18
BRADFORD,0
BREVARD,67
BROWARD,239
CALHOUN,0
CHARLOTTE,40
CITRUS,23
CLAY,30
COLLIER,48
COLUMBIA,18
DESOTO,1
DUVAL,135
ESCAMBIA,49
FLAGLER,7
FRANKLIN,0
GADSDEN,0
GULF,1
HARDEE,0
HENDRY,1
HERNANDO,28
HIGHLANDS,34
HILLSBOROUGH,174
HOLMES,0
INDIAN RIVER,8
JACKSON,10
LAKE,33
LEE,64
LEON,45
MADISON,0
MANATEE,25
MARION,27
MARTIN,5
MIAMI-DADE,332
MONROE,3
NASSAU,1
OKALOOSA,29
OKEECHOBEE,3
ORANGE,149
OSCEOLA,72
PALM BEACH,153
PASCO,63
PINELLAS,127
POLK,86
PUTNAM,6
SANTA ROSA,5
SARASOTA,53
SEMINOLE,42
ST. JOHNS,9
ST. LUCIE,52
SUMTER,12
SUWANNEE,0
TAYLOR,0
UNION,8
VOLUSIA,55
WALTON,9
WASHINGTON,2
All,"2,473"
