County,FileNumber,Measure Names,ProviderName,Measure Values
ALACHUA,100113,Bed Census,UF HEALTH SHANDS HOSPITAL,810
ALACHUA,100113,Available,UF HEALTH SHANDS HOSPITAL,236
ALACHUA,100113,Available Capacity,UF HEALTH SHANDS HOSPITAL,0.225621415
ALACHUA,100113,Total Staffed Bed Capacity,UF HEALTH SHANDS HOSPITAL,"1,046"
ALACHUA,100204,Bed Census,NORTH FLORIDA REGIONAL MEDICAL CENTER,404
ALACHUA,100204,Available,NORTH FLORIDA REGIONAL MEDICAL CENTER,58
ALACHUA,100204,Available Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,0.125541126
ALACHUA,100204,Total Staffed Bed Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER,462
ALACHUA,110025,Bed Census,UF HEALTH REHAB HOSPITAL,46
ALACHUA,110025,Available,UF HEALTH REHAB HOSPITAL,14
ALACHUA,110025,Available Capacity,UF HEALTH REHAB HOSPITAL,0.233333333
ALACHUA,110025,Total Staffed Bed Capacity,UF HEALTH REHAB HOSPITAL,60
ALACHUA,120011,Bed Census,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,52
ALACHUA,120011,Available,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,29
ALACHUA,120011,Available Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,0.358024691
ALACHUA,120011,Total Staffed Bed Capacity,UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,81
ALACHUA,23960071,Bed Census,SELECT SPECIALTY HOSPITAL GAINESVILLE,46
ALACHUA,23960071,Available,SELECT SPECIALTY HOSPITAL GAINESVILLE,2
ALACHUA,23960071,Available Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,0.041666667
ALACHUA,23960071,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL GAINESVILLE,48
BAKER,100134,Bed Census,ED FRASER MEMORIAL HOSPITAL,4
BAKER,100134,Available,ED FRASER MEMORIAL HOSPITAL,8
BAKER,100134,Available Capacity,ED FRASER MEMORIAL HOSPITAL,0.666666667
BAKER,100134,Total Staffed Bed Capacity,ED FRASER MEMORIAL HOSPITAL,12
BAKER,104007,Bed Census,NORTHEAST FLORIDA STATE HOSPITAL,495
BAKER,104007,Available,NORTHEAST FLORIDA STATE HOSPITAL,118
BAKER,104007,Available Capacity,NORTHEAST FLORIDA STATE HOSPITAL,0.192495922
BAKER,104007,Total Staffed Bed Capacity,NORTHEAST FLORIDA STATE HOSPITAL,613
BAY,100026,Bed Census,ASCENSION SACRED HEART BAY,122
BAY,100026,Available,ASCENSION SACRED HEART BAY,21
BAY,100026,Available Capacity,ASCENSION SACRED HEART BAY,0.146853147
BAY,100026,Total Staffed Bed Capacity,ASCENSION SACRED HEART BAY,143
BAY,100242,Bed Census,GULF COAST REGIONAL MEDICAL CENTER,189
BAY,100242,Available,GULF COAST REGIONAL MEDICAL CENTER,42
BAY,100242,Available Capacity,GULF COAST REGIONAL MEDICAL CENTER,0.181818182
BAY,100242,Total Staffed Bed Capacity,GULF COAST REGIONAL MEDICAL CENTER,231
BAY,110034,Bed Census,EMERALD COAST BEHAVIORAL HOSPITAL,60
BAY,110034,Available,EMERALD COAST BEHAVIORAL HOSPITAL,26
BAY,110034,Available Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,0.302325581
BAY,110034,Total Staffed Bed Capacity,EMERALD COAST BEHAVIORAL HOSPITAL,86
BAY,23960013,Bed Census,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,40
BAY,23960013,Available,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,16
BAY,23960013,Available Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,0.285714286
BAY,23960013,Total Staffed Bed Capacity,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF PANAMA CITY,56
BAY,23960045,Bed Census,SELECT SPECIALTY HOSPITAL - PANAMA CITY,21
BAY,23960045,Available,SELECT SPECIALTY HOSPITAL - PANAMA CITY,9
BAY,23960045,Available Capacity,SELECT SPECIALTY HOSPITAL - PANAMA CITY,0.3
BAY,23960045,Total Staffed Bed Capacity,SELECT SPECIALTY HOSPITAL - PANAMA CITY,30
BRADFORD,100103,Bed Census,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5
BRADFORD,100103,Available,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,5
BRADFORD,100103,Available Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,0.5
BRADFORD,100103,Total Staffed Bed Capacity,NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS,10
BREVARD,100019,Bed Census,HOLMES REGIONAL MEDICAL CENTER,418
BREVARD,100019,Available,HOLMES REGIONAL MEDICAL CENTER,86
BREVARD,100019,Available Capacity,HOLMES REGIONAL MEDICAL CENTER,0.170634921
